"Boat Type","No of boats by Boat Type"
"Motor Yacht","2720"
"Sport Boat","1407"
"Flybridge","1194"
"Trawler","679"
"Pilothouse","613"
"Cabin Boat","585"
"Hardtop","507"
"Center console boat","369"
"Bowrider","301"
"Deck Boat","283"
"Fishing Boat","173"
"House Boat","145"
"Mega Yacht","108"
"Pontoon Boat","91"
"Runabout","73"
"Classic","59"
"Classic,Runabout","59"
"Wakeboard/Wakesurf","58"
"Launch","55"
"Offshore Boat","54"
"Working Boat","44"
"Passenger boat","33"
"Catamaran","26"
"Classic,Motor Yacht","26"
"Classic,Sport Boat","12"
"Cabin Boat,Motor Yacht","10"
"Water ski","10"
"Cabin Boat,Classic","9"
"Motor Yacht,Sport Boat","9"
"Cabin Boat,Sport Boat","9"
"Classic,Flybridge","8"
"Flybridge,Motor Yacht","7"
"Cabin Boat,Motor Yacht,Sport Boat","7"
"Classic,Trawler","5"
"Classic,Pontoon Boat","4"
"Classic,Sport Boat,Water ski","4"
"Classic,Launch","4"
"Sport Boat,Wakeboard/Wakesurf","4"
"Motor Yacht,Trawler","4"
"Classic,Runabout,Sport Boat","3"
"Classic,Deck Boat","3"
"Cabin Boat,House Boat","3"
"Runabout,Sport Boat,Water ski","3"
"Cabin Boat,Flybridge","3"
"Classic,House Boat,Motor Yacht","3"
"Hardtop,Motor Yacht","3"
"Cabin Boat,Trawler","3"
"Cabin Boat,Classic,Motor Yacht","3"
"Motorsailer","3"
"Sport Boat,Wakeboard/Wakesurf,Water ski","3"
"Cabin Boat,Fishing Boat","2"
"Center console boat,Sport Boat","2"
"Offshore Boat,Sport Boat","2"
"Cabin Boat,Flybridge,Motor Yacht","2"
"Passenger boat,Working Boat","2"
"Wakeboard/Wakesurf,Water ski","2"
"Cabin Boat,Hardtop","2"
"Bowrider,Sport Boat,Wakeboard/Wakesurf","2"
"Center console boat,Classic","2"
"Sport Boat,Water ski","2"
"Runabout,Sport Boat","2"
"Classic,Pontoon Boat,Trawler","1"
"Classic,Working Boat","1"
"Motor Yacht,Sport Boat,Trawler","1"
"Ketch","1"
"Sport Boat,Working Boat","1"
"Cabin Boat,Hardtop,Trawler","1"
"Flybridge,Hardtop,Motor Yacht","1"
"Flybridge,Pilothouse","1"
"Classic,Mega Yacht","1"
"Cabin Boat,Motor Yacht,Offshore Boat","1"
"Deck Boat,Pilothouse,Sport Boat","1"
"Cabin Boat,Motor Yacht,Trawler","1"
"Bowrider,Motor Yacht,Wakeboard/Wakesurf","1"
"Hardtop,Mega Yacht,Motor Yacht","1"
"Hardtop,Motor Yacht,Sport Boat","1"
"Classic,House Boat,Passenger boat","1"
"House Boat,Motor Yacht,Trawler","1"
"Cabin Boat,Hardtop,Motor Yacht","1"
"Bowrider,Classic","1"
"Fishing Boat,Launch,Motor Yacht","1"
"Offshore Boat,Pilothouse","1"
"Classic,Motor Yacht,Passenger boat","1"
"Bowrider,Motor Yacht,Sport Boat","1"
"Cabin Boat,Classic,Trawler","1"
"House Boat,Motor Yacht","1"
"Classic,Motor Yacht,Sport Boat","1"
"Bowrider,Cabin Boat,Deck Boat","1"
"Motor Yacht,Wakeboard/Wakesurf","1"
"Classic,Motor Yacht,Water ski","1"
"Passenger boat,Runabout,Sport Boat","1"
"Pilothouse,Sport Boat","1"
"Classic,Motorsailer","1"
"Cabin Boat,Fishing Boat,Pilothouse","1"
"Cabin Boat,Pilothouse","1"
"Center console boat,Fishing Boat,Sport Boat","1"
"Fishing Boat,Flybridge,Trawler","1"
"Classic,Fishing Boat,Working Boat","1"
"Center console boat,Deck Boat,Sport Boat","1"
"Cabin Boat,Classic,Flybridge","1"
"Fishing Boat,Hardtop,Pilothouse","1"
"Cabin Boat,Fishing Boat,House Boat","1"
"Cabin Boat,Sport Boat,Water ski","1"
"Bowrider,Deck Boat,Water ski","1"
"RIB","1"
"Deck Boat,Water ski","1"
"Classic,Fishing Boat","1"
"Hardtop,Sport Boat","1"
"Cabin Boat,Fishing Boat,Sport Boat","1"
"Classic,Runabout,Trawler","1"
"Motor Yacht,Sport Boat,Water ski","1"
"Cabin Boat,Hardtop,Sport Boat","1"
"Fishing Boat,Sport Boat","1"
"Classic,Hardtop,Motor Yacht","1"
"Center console boat,Deck Boat,Working Boat","1"
"Center console boat,Sport Boat,Water ski","1"
"Fishing Boat,Pilothouse","1"
"Bowrider,Wakeboard/Wakesurf","1"
"House Boat,Sport Boat,Trawler","1"
"Cabin Boat,House Boat,Trawler","1"
"Cabin Boat,Sport Boat,Wakeboard/Wakesurf","1"
"Bowrider,Center console boat,Sport Boat","1"
"Cabin Boat,Pilothouse,Sport Boat","1"
"Cabin Boat,Classic,Passenger boat","1"
"Classic,Sport Boat,Trawler","1"
"Fishing Boat,Passenger boat,Sport Boat","1"
